"Sample_ID","slope_of_the_regression","rate_mg_per_L_per_min","rate_mg_per_L_per_h","R_squared","R_squared_adj","p_value","total_incubation_time_min","number_of_points"
"SSS015-1",-0.064,0.064,3.863,0.772,0.695,0.0202252334960155,46,5
"SSS025-1",0.001,0.001,0.033,1,NA,NA,6,2
"SSS026-1",-0.232,0.232,13.95,1,NA,NA,4,2
"SSS003-1",-0.164,0.164,9.816,0.986,0.98,0.013564987611085,15,4
"SSS014-1",-0.419,0.419,25.16,1,NA,NA,5,2
"SSS038-1",-0.044,0.044,2.625,0.986,0.983,0.00231233231550915,89,7
"SSS013-1",-0.077,0.077,4.624,0.999,0.999,0.00147873820085454,15,4
"SSS002-1",-0.027,0.027,1.602,0.994,0.993,0.000832799097986419,120,8
"SSS001-1",-0.209,0.209,12.533,1,NA,NA,6,2
"SSS037-1",-0.063,0.063,3.764,0.996,0.993,0.00292650720901971,15,4
"SSS039-1",-0.035,0.035,2.104,0.996,0.995,0.000922861069972758,120,8
"SSS027-1",-0.077,0.077,4.6,0.993,0.99,0.00381727848694236,30,5
"SSS040-1",-0.042,0.042,2.494,0.995,0.995,0.00125665819903807,90,7
"SSS028-1",-0.103,0.103,6.192,0.992,0.99,0.00520659507799596,30,5
"SSS030-1",-0.065,0.065,3.874,0.913,0.895,0.00892847730829405,91,7
"SSS029-1",-0.197,0.197,11.816,0.966,0.949,0.0260667519180192,15,4
"SSS016-1",-0.546,0.546,32.76,1,NA,NA,5,2
"SSS017-1",-0.023,0.023,1.407,0.934,0.923,0.0025481723689326,120,8
"SSS041-1",-0.062,0.062,3.719,0.993,0.991,0.00269186937169799,60,6
"SSS005-1",-0.021,0.021,1.248,0.995,0.994,0.000596277398820855,120,8
"SSS006-1",-0.252,0.252,15.12,1,NA,NA,5,2
"SSS042-1",-0.023,0.023,1.372,0.993,0.992,0.000852425129603271,90,7
"SSS004-1",-0.394,0.394,23.64,1,NA,NA,5,2
"SSS020-1",-0.434,0.434,26.06,0.983,0.965,0.0579274770086921,10,3
"SSS019-1",-0.048,0.048,2.874,0.932,0.915,0.00647251296146107,60,6
"SSS007-1",-0.026,0.026,1.532,0.986,0.984,0.00123842841875903,120,8
"SSS031-1",-0.027,0.027,1.643,0.996,0.995,0.000833560059860001,90,7
"SSS009-1",-0.01,0.01,0.578,0.953,0.941,0.00107341959510648,67,6
"SSS044-1",-0.038,0.038,2.289,0.953,0.943,0.00379366621056599,90,7
"SSS033-1",-0.024,0.024,1.43,0.99,0.988,0.000985647242493912,120,8
"SSS045-1",-0.029,0.029,1.764,0.993,0.992,0.00121242004328608,60,6
"SSS008-1",-0.109,0.109,6.52,1,NA,NA,5,2
"SSS043-1",-0.035,0.035,2.104,0.981,0.976,0.00246421392238881,60,6
"SSS032-1",-0.018,0.018,1.094,0.966,0.96,0.00139764044402052,120,8
"SSS018-1",-0.008,0.008,0.506,0.992,0.99,0.000312040939081873,120,8
"SSS046-1",-0.095,0.095,5.709,0.999,0.998,0.00189028328366455,30,5
"SSS048-1",-0.043,0.043,2.569,0.82,0.759,0.0115977639497513,30,5
"SSS047-1",-0.255,0.255,15.28,1,NA,NA,5,2
"SSS021-1",-0.022,0.022,1.293,0.793,0.758,0.00449782859433337,123,8
"SSS022-1",-0.015,0.015,0.884,0.996,0.995,0.000390156109193728,120,8
"SSS035-1",-0.024,0.024,1.46,0.941,0.931,0.00249152777101011,120,8
"SSS034-1",-0.019,0.019,1.161,0.956,0.945,0.00208179360701215,60,6
"SSS010-1",-0.019,0.019,1.122,0.992,0.991,0.000674752070563266,120,8
"SSS011-1",-0.051,0.051,3.061,0.975,0.968,0.00411840479708835,60,6
"SSS012-1",-0.153,0.153,9.209,0.999,0.999,0.00316249933105247,17,4
"SSS036-1",-0.206,0.206,12.36,0.888,0.776,0.0731310340973525,10,3
"SSS023-1",-0.386,0.386,23.16,1,NA,NA,5,2
"SSS024-1",-0.538,0.538,32.28,1,NA,NA,5,2
"SSS027-2",-0.081,0.081,4.832,0.995,0.994,0.00280913926521717,62,6
"SSS001-2",-0.009,0.009,0.52,1,NA,NA,5,2
"SSS037-2",-0.092,0.092,5.515,0.998,0.997,0.00221872671539715,60,6
"SSS039-2",-0.048,0.048,2.868,0.957,0.946,0.00506979200423218,NA,7
"SSS015-2",-0.114,0.114,6.866,0.996,0.994,0.00493925687764892,25,4
"SSS002-2",-0.025,0.025,1.505,0.962,0.956,0.00203014177236686,120,8
"SSS003-2",-0.138,0.138,8.296,0.977,0.966,0.0149312498546579,15,4
"SSS014-2",-0.061,0.061,3.68,1,NA,NA,5,2
"SSS038-2",-0.052,0.052,3.112,0.99,0.988,0.00258884133037889,60,6
"SSS013-2",-0.057,0.057,3.436,0.996,0.995,0.00185097048920115,60,6
"SSS025-2",-0.032,0.032,1.92,1,NA,NA,5,2
"SSS026-2",-0.239,0.239,14.32,1,NA,NA,5,2
"SSS042-2",-0.026,0.026,1.57,0.944,0.93,0.00318210625320779,60,6
"SSS004-2",-0.424,0.424,25.44,1,NA,NA,5,2
"SSS017-2",-0.025,0.025,1.505,0.989,0.988,0.0010625642335357,120,8
"SSS006-2",-0.249,0.249,14.96,1,NA,NA,5,2
"SSS041-2",-0.095,0.095,5.704,0.95,0.925,0.0154246555877271,15,4
"SSS005-2",-0.018,0.018,1.088,0.992,0.99,0.000743643168263206,NA,8
"SSS016-2",-0.49,0.49,29.4,1,NA,NA,5,2
"SSS030-2",-0.043,0.043,2.577,0.998,0.997,0.0010677184440371,60,6
"SSS029-2",-0.134,0.134,8.064,0.978,0.967,0.0141863784431874,15,4
"SSS040-2",-0.028,0.028,1.668,0.974,0.969,0.00186134120941463,120,8
"SSS028-2",-0.073,0.073,4.374,0.975,0.963,0.00821453829839397,20,4
"SSS032-2",-0.017,0.017,1.023,0.969,0.963,0.00125449703487477,120,8
"SSS018-2",-0.027,0.027,1.596,0.972,0.967,0.00184867145992233,121,8
"SSS033-2",-0.031,0.031,1.883,0.996,0.995,0.000935441387196176,121,8
"SSS045-2",-0.039,0.039,2.348,0.985,0.982,0.00212934323419669,102,7
"SSS008-2",-0.005,0.005,0.28,1,NA,NA,5,2
"SSS043-2",-0.031,0.031,1.885,0.949,0.932,0.00420979062014643,30,5
"SSS007-2",-0.014,0.014,0.862,0.969,0.963,0.00105615011714508,120,8
"SSS031-2",-0.011,0.011,0.64,0.94,0.93,0.00110347407312597,120,8
"SSS009-2",-0.008,0.008,0.471,0.686,0.582,0.00306101561492385,30,5
"SSS044-2",-0.033,0.033,1.993,0.988,0.986,0.00161858043959224,90,7
"SSS020-2",-0.147,0.147,8.84,1,NA,NA,5,2
"SSS019-2",-0.086,0.086,5.144,0.985,0.981,0.0053111890021127,60,6
"SSS035-2",-0.023,0.023,1.362,0.994,0.993,0.00070573710152348,120,8
"SSS034-2",-0.019,0.019,1.153,0.945,0.926,0.00268614332330779,30,5
"SSS010-2",-0.02,0.02,1.213,0.997,0.996,0.000486587903039274,120,8
"SSS011-2",-0.045,0.045,2.677,0.986,0.983,0.00240393994684659,90,7
"SSS012-2",-0.24,0.24,14.386,0.907,0.875,0.044425054114381,30,5
"SSS046-2",-0.229,0.229,13.72,0.856,0.784,0.0662701541671161,15,4
"SSS048-2",-0.047,0.047,2.828,0.988,0.986,0.00228491802293712,90,7
"SSS047-2",-0.638,0.638,38.28,1,NA,NA,5,2
"SSS021-2",-0.049,0.049,2.962,0.983,0.979,0.00323733055625384,60,6
"SSS022-2",-0.015,0.015,0.906,0.98,0.975,0.00108840171433216,60,6
"SSS024-2",-0.916,0.916,54.933,1,NA,NA,3,2
"SSS023-2",-0.315,0.315,18.92,1,NA,NA,5,2
"SSS036-2",-0.217,0.217,13.02,0.902,0.805,0.0713989832897835,10,3
"SSS025-3",-0.005,0.005,0.28,1,NA,NA,5,2
"SSS026-3",-0.248,0.248,14.88,1,NA,NA,5,2
"SSS002-3",-0.034,0.034,2.019,0.993,0.992,0.00112339844431781,110,8
"SSS013-3",-0.058,0.058,3.492,0.943,0.929,0.00714529804040967,51,6
"SSS003-3",-0.296,0.296,17.767,1,NA,NA,6,2
"SSS014-3",-0.315,0.315,18.88,1,NA,NA,5,2
"SSS038-3",-0.068,0.068,4.078,0.999,0.999,0.00117456242934,29,5
"SSS001-3",-0.019,0.019,1.16,1,NA,NA,5,2
"SSS037-3",-0.056,0.056,3.383,0.972,0.963,0.00547863364398098,30,5
"SSS039-3",-0.032,0.032,1.91,0.976,0.971,0.00205818912390328,120,8
"SSS015-3",-0.12,0.12,7.177,0.995,0.993,0.00501024753185101,30,5
"SSS027-3",-0.089,0.089,5.351,0.995,0.993,0.00361891259284156,30,5
"SSS040-3",-0.025,0.025,1.474,0.966,0.96,0.00188086411643788,120,8
"SSS028-3",-0.073,0.073,4.377,0.999,0.998,0.00129399158039321,60,6
"SSS030-3",-0.065,0.065,3.922,0.991,0.988,0.0036044558681812,30,5
"SSS016-3",-0.311,0.311,18.64,1,NA,NA,5,2
"SSS029-3",-0.223,0.223,13.396,0.978,0.967,0.0236649764654671,15,4
"SSS017-3",-0.022,0.022,1.346,0.972,0.967,0.00155476973674339,120,8
"SSS041-3",-0.046,0.046,2.73,0.924,0.905,0.00651644700988607,60,6
"SSS005-3",-0.018,0.018,1.076,0.987,0.985,0.000824774870661004,120,8
"SSS042-3",-0.018,0.018,1.065,0.876,0.834,0.00386171545748009,30,5
"SSS004-3",-0.323,0.323,19.4,1,NA,NA,5,2
"SSS006-3",-0.401,0.401,24.04,1,NA,NA,5,2
"SSS020-3",-0.388,0.388,23.28,1,NA,NA,5,2
"SSS019-3",-0.115,0.115,6.889,0.967,0.958,0.0106865690884086,60,6
"SSS007-3",-0.036,0.036,2.136,0.997,0.997,0.000921528112453474,90,7
"SSS031-3",-0.023,0.023,1.351,0.997,0.997,0.000577737550972733,60,6
"SSS009-3",-0.014,0.014,0.811,0.992,0.991,0.000590499855886895,62,6
"SSS044-3",-0.028,0.028,1.696,0.983,0.98,0.00150579312503859,120,8
"SSS033-3",-0.024,0.024,1.426,0.99,0.988,0.000995979899017985,120,8
"SSS045-3",-0.032,0.032,1.905,0.983,0.981,0.00168025083394462,120,8
"SSS008-3",-0.047,0.047,2.8,1,NA,NA,5,2
"SSS043-3",-0.022,0.022,1.334,0.847,0.822,0.00385361433166234,120,8
"SSS032-3",-0.019,0.019,1.157,0.862,0.816,0.00445230901023195,30,5
"SSS018-3",-0.006,0.006,0.388,0.964,0.958,0.000508481269151257,120,8
"SSS046-3",-0.107,0.107,6.421,0.675,0.566,0.0428889956741394,29,5
"SSS048-3",-0.039,0.039,2.345,0.986,0.983,0.00210884647905486,100,7
"SSS047-3",-0.257,0.257,15.44,1,NA,NA,5,2
"SSS021-3",-0.062,0.062,3.749,0.972,0.965,0.00530314942293398,60,6
"SSS022-3",-0.012,0.012,0.733,0.996,0.995,0.000344520166845265,102,7
"SSS035-3",-0.019,0.019,1.12,0.914,0.899,0.00233949915793429,120,8
"SSS034-3",-0.019,0.019,1.119,0.99,0.988,0.000763241580883661,120,8
"SSS010-3",-0.02,0.02,1.173,0.989,0.987,0.000850306412759037,120,8
"SSS011-3",-0.049,0.049,2.925,0.996,0.996,0.00132320511685073,90,7
"SSS012-3",-0.056,0.056,3.352,0.981,0.972,0.00546829244117597,15,4
"SSS036-3",-0.256,0.256,15.344,0.961,0.941,0.0365806263235367,15,4
"SSS023-3",-0.722,0.722,43.32,1,NA,NA,5,2
"SSS024-3",-0.721,0.721,43.28,1,NA,NA,5,2
